Route ID,Stop ID,Stop Name,Latitude,Longitude
MTA%20NYCT_Q1,MTA_500070,HILLSIDE AV/214 ST,40.725874,-73.752133
MTA%20NYCT_Q1,MTA_500071,HILLSIDE AV/212 ST,40.724529,-73.7545
MTA%20NYCT_Q1,MTA_500072,HILLSIDE AV/211 ST,40.723438,-73.756131
MTA%20NYCT_Q1,MTA_500073,HILLSIDE AV/209 ST,40.722401,-73.757613
MTA%20NYCT_Q1,MTA_500074,HILLSIDE AV/FRANCIS LEWIS BLVD,40.720959,-73.759687
MTA%20NYCT_Q1,MTA_500078,HILLSIDE AV/193 ST,40.716563,-73.769609
MTA%20NYCT_Q1,MTA_500079,HILLSIDE AV/191 ST,40.71588,-73.771498
MTA%20NYCT_Q1,MTA_500080,HILLSIDE AV/188 ST,40.715217,-73.773444
MTA%20NYCT_Q1,MTA_500081,HILLSIDE AV/187 ST,40.714768,-73.775267
MTA%20NYCT_Q1,MTA_500082,HILLSIDE AV/DALNY RD,40.714049,-73.778431
MTA%20NYCT_Q1,MTA_500197,HILLSIDE AV/EDGERTON BLVD,40.712223,-73.785799
MTA%20NYCT_Q1,MTA_501414,HILLSIDE AV/MIDLAND PKWY,40.71262,-73.783923
MTA%20NYCT_Q1,MTA_501419,HILLSIDE AV/169 ST,40.71071,-73.793147
MTA%20NYCT_Q1,MTA_502115,HILLSIDE AV/202 ST,40.719904,-73.762312
MTA%20NYCT_Q1,MTA_503195,HILLSIDE AV/172 ST,40.711809,-73.790139
MTA%20NYCT_Q1,MTA_503212,AMBOY LN/SPRINGFIELD BLVD,40.717818,-73.735753
MTA%20NYCT_Q1,MTA_503272,HILLSIDE AV/218 ST,40.728439,-73.747174
MTA%20NYCT_Q1,MTA_503753,BRADDOCK AV/CROSS ISLAND PKWY,40.725654,-73.725173
MTA%20NYCT_Q1,MTA_503965,HILLSIDE AV/210 ST,40.723225,-73.756211
MTA%20NYCT_Q1,MTA_503978,HILLSIDE AV/199 ST,40.719173,-73.763711
MTA%20NYCT_Q1,MTA_503984,HILLSIDE AV/168 PL,40.710261,-73.793941
MTA%20NYCT_Q1,MTA_504472,165 ST/TERMINAL,40.707919,-73.79573
MTA%20NYCT_Q1,MTA_505201,HILLSIDE AV/198 ST,40.718858,-73.764627
MTA%20NYCT_Q1,MTA_505233,HILLSIDE AV/AVON ST,40.713535,-73.780431
MTA%20NYCT_Q1,MTA_505284,HILLSIDE AV/175 ST,40.711852,-73.786805
MTA%20NYCT_Q1,MTA_804052,165 ST/TERMINAL,40.707663,-73.795217
MTA%20NYCT_Q1,MTA_804087,BRADDOCK AV/CROSS ISLAND PKWY,40.725647,-73.725154
MTA%20NYCT_Q2,MTA_500002,165 ST/HILLSIDE AV,40.709146,-73.797156
MTA%20NYCT_Q2,MTA_500003,HILLSIDE AV/169 ST,40.710593,-73.793092
MTA%20NYCT_Q2,MTA_500004,HILLSIDE AV/171 ST,40.71144,-73.790887
MTA%20NYCT_Q2,MTA_500008,HILLSIDE AV/182 PL,40.713574,-73.77985
MTA%20NYCT_Q2,MTA_500009,HILLSIDE AV/184 ST,40.714085,-73.777516
MTA%20NYCT_Q2,MTA_500010,HILLSIDE AV/187 ST,40.714481,-73.775904
MTA%20NYCT_Q2,MTA_500081,HILLSIDE AV/187 ST,40.714768,-73.775267
MTA%20NYCT_Q2,MTA_500082,HILLSIDE AV/DALNY RD,40.714049,-73.778431
MTA%20NYCT_Q2,MTA_500095,HILLSIDE AV/179 ST,40.712528,-73.784081
